维度模式,Sheet名称,w值,排序标准,星数,CV_R2,OOT_SMOOTH_R2,OOT_RAW_R2,alpha,完整文件名
6D,整库_w=4,4,合平均面积,23,0.7721,-0.955,-0.6912,2.5382,23星_Ridge_CV-R2_0.7721_OOT-SMOOTH-R2_-0.9550_OOT-RAW-R2_-0.6912_Params_alpha_2.5382.png
6D,整库_w=4,4,合平均面积,24,0.7674,-0.9581,-0.6933,2.6502,24星_Ridge_CV-R2_0.7674_OOT-SMOOTH-R2_-0.9581_OOT-RAW-R2_-0.6933_Params_alpha_2.6502.png
3D_V,整库_w=5,5,合面积,11,0.5222,-0.9638,-0.6981,0.1,11星_Ridge_CV-R2_0.5222_OOT-SMOOTH-R2_-0.9638_OOT-RAW-R2_-0.6981_Params_alpha_0.1000.png
3D,整库_w=5,5,合平均面积,11,0.497,-0.9757,-0.7049,0.1,11星_Ridge_CV-R2_0.4970_OOT-SMOOTH-R2_-0.9757_OOT-RAW-R2_-0.7049_Params_alpha_0.1000.png
6D,整库_w=4,4,合平均面积,22,0.7739,-0.9768,-0.707,4.409,22星_Ridge_CV-R2_0.7739_OOT-SMOOTH-R2_-0.9768_OOT-RAW-R2_-0.7070_Params_alpha_4.4090.png
3D,整库_w=5,5,合平均面积,51,0.7,-0.9879,-0.7182,1.3296,51星_Ridge_CV-R2_0.7000_OOT-SMOOTH-R2_-0.9879_OOT-RAW-R2_-0.7182_Params_alpha_1.3296.png
6D,整库_w=5,5,合平均面积,16,0.6754,-0.9777,-0.7217,0.1,16星_Ridge_CV-R2_0.6754_OOT-SMOOTH-R2_-0.9777_OOT-RAW-R2_-0.7217_Params_alpha_0.1000.png
3D_V,整库_w=5,5,合面积,17,0.7506,-1.0038,-0.723,0.1,17星_Ridge_CV-R2_0.7506_OOT-SMOOTH-R2_-1.0038_OOT-RAW-R2_-0.7230_Params_alpha_0.1000.png
3D_V,整库_w=5,5,合面积,16,0.7615,-1.0105,-0.7279,0.1,16星_Ridge_CV-R2_0.7615_OOT-SMOOTH-R2_-1.0105_OOT-RAW-R2_-0.7279_Params_alpha_0.1000.png
6D,整库_w=5,5,合平均面积,17,0.6488,-1.0161,-0.7498,0.1,17星_Ridge_CV-R2_0.6488_OOT-SMOOTH-R2_-1.0161_OOT-RAW-R2_-0.7498_Params_alpha_0.1000.png
3D_V,整库_w=4,4,合面积,12,0.5675,-1.0569,-0.7659,0.1,12星_Ridge_CV-R2_0.5675_OOT-SMOOTH-R2_-1.0569_OOT-RAW-R2_-0.7659_Params_alpha_0.1000.png
6D,整库_w=5,5,合面积,24,0.8005,-1.0804,-0.7865,0.1,24星_Ridge_CV-R2_0.8005_OOT-SMOOTH-R2_-1.0804_OOT-RAW-R2_-0.7865_Params_alpha_0.1000.png
3D_V,整库_w=4,4,合面积,27,0.7543,-1.1206,-0.8024,0.1779,27星_Ridge_CV-R2_0.7543_OOT-SMOOTH-R2_-1.1206_OOT-RAW-R2_-0.8024_Params_alpha_0.1779.png
6D,整库_w=4,4,合平均面积,21,0.7696,-1.1214,-0.8116,0.9188,21星_Ridge_CV-R2_0.7696_OOT-SMOOTH-R2_-1.1214_OOT-RAW-R2_-0.8116_Params_alpha_0.9188.png
6D,整库_w=4,4,合面积,20,0.7597,-1.1324,-0.8135,0.96,20星_Ridge_CV-R2_0.7597_OOT-SMOOTH-R2_-1.1324_OOT-RAW-R2_-0.8135_Params_alpha_0.9600.png
