维度模式,Sheet名称,w值,排序标准,星数,CV_R2,OOT_SMOOTH_R2,OOT_RAW_R2,alpha,完整文件名
3D_V,整库_w=5,5,合平均面积,14,0.4182,-0.4073,-0.292,100,14星_Ridge_CV-R2_0.4182_OOT-SMOOTH-R2_-0.4073_OOT-RAW-R2_-0.2920_Params_alpha_100.0000.png
3D,整库_w=4,4,合面积,13,0.4575,-0.4292,-0.3063,100,13星_Ridge_CV-R2_0.4575_OOT-SMOOTH-R2_-0.4292_OOT-RAW-R2_-0.3063_Params_alpha_100.0000.png
3D_V,整库_w=5,5,合面积,35,0.449,-0.4446,-0.317,17.802,35星_Ridge_CV-R2_0.4490_OOT-SMOOTH-R2_-0.4446_OOT-RAW-R2_-0.3170_Params_alpha_17.8020.png
3D_V,整库_w=5,5,合面积,34,0.456,-0.4466,-0.3184,17.0588,34星_Ridge_CV-R2_0.4560_OOT-SMOOTH-R2_-0.4466_OOT-RAW-R2_-0.3184_Params_alpha_17.0588.png
3D,整库_w=5,5,合面积,14,0.4638,-0.449,-0.3185,0.3218,14星_Ridge_CV-R2_0.4638_OOT-SMOOTH-R2_-0.4490_OOT-RAW-R2_-0.3185_Params_alpha_0.3218.png
3D,整库_w=5,5,合面积,15,0.4719,-0.4542,-0.3227,0.282,15星_Ridge_CV-R2_0.4719_OOT-SMOOTH-R2_-0.4542_OOT-RAW-R2_-0.3227_Params_alpha_0.2820.png
6D,整库_w=5,5,合面积,41,0.4208,-0.461,-0.3282,100,41星_Ridge_CV-R2_0.4208_OOT-SMOOTH-R2_-0.4610_OOT-RAW-R2_-0.3282_Params_alpha_100.0000.png
6D,整库_w=5,5,合面积,42,0.4109,-0.4664,-0.3321,99.5843,42星_Ridge_CV-R2_0.4109_OOT-SMOOTH-R2_-0.4664_OOT-RAW-R2_-0.3321_Params_alpha_99.5843.png
3D_V,整库_w=5,5,合面积,32,0.4741,-0.4716,-0.3368,18.9165,32星_Ridge_CV-R2_0.4741_OOT-SMOOTH-R2_-0.4716_OOT-RAW-R2_-0.3368_Params_alpha_18.9165.png
6D,整库_w=5,5,合面积,39,0.4253,-0.4772,-0.3402,100,39星_Ridge_CV-R2_0.4253_OOT-SMOOTH-R2_-0.4772_OOT-RAW-R2_-0.3402_Params_alpha_100.0000.png
3D_V,整库_w=5,5,合面积,30,0.4856,-0.483,-0.3449,12.3458,30星_Ridge_CV-R2_0.4856_OOT-SMOOTH-R2_-0.4830_OOT-RAW-R2_-0.3449_Params_alpha_12.3458.png
3D_V,整库_w=5,5,合面积,29,0.4891,-0.483,-0.3451,12.6347,29星_Ridge_CV-R2_0.4891_OOT-SMOOTH-R2_-0.4830_OOT-RAW-R2_-0.3451_Params_alpha_12.6347.png
3D,整库_w=4,4,合面积,20,0.4569,-0.4877,-0.3452,5.6261,20星_Ridge_CV-R2_0.4569_OOT-SMOOTH-R2_-0.4877_OOT-RAW-R2_-0.3452_Params_alpha_5.6261.png
3D_V,整库_w=5,5,合面积,33,0.475,-0.4835,-0.3454,18.8798,33星_Ridge_CV-R2_0.4750_OOT-SMOOTH-R2_-0.4835_OOT-RAW-R2_-0.3454_Params_alpha_18.8798.png
6D,整库_w=5,5,合面积,40,0.4214,-0.4918,-0.3507,100,40星_Ridge_CV-R2_0.4214_OOT-SMOOTH-R2_-0.4918_OOT-RAW-R2_-0.3507_Params_alpha_100.0000.png
3D_V,整库_w=5,5,合面积,28,0.5127,-0.4935,-0.3527,11.5528,28星_Ridge_CV-R2_0.5127_OOT-SMOOTH-R2_-0.4935_OOT-RAW-R2_-0.3527_Params_alpha_11.5528.png
6D,整库_w=5,5,合面积,38,0.4319,-0.4955,-0.3536,100,38星_Ridge_CV-R2_0.4319_OOT-SMOOTH-R2_-0.4955_OOT-RAW-R2_-0.3536_Params_alpha_100.0000.png
3D_V,整库_w=5,5,合面积,31,0.4916,-0.4957,-0.3541,12.114,31星_Ridge_CV-R2_0.4916_OOT-SMOOTH-R2_-0.4957_OOT-RAW-R2_-0.3541_Params_alpha_12.1140.png
3D,整库_w=4,4,合面积,14,0.4667,-0.5073,-0.3606,0.3047,14星_Ridge_CV-R2_0.4667_OOT-SMOOTH-R2_-0.5073_OOT-RAW-R2_-0.3606_Params_alpha_0.3047.png
3D,整库_w=5,5,合平均面积,16,0.4141,-0.5041,-0.3609,100,16星_Ridge_CV-R2_0.4141_OOT-SMOOTH-R2_-0.5041_OOT-RAW-R2_-0.3609_Params_alpha_100.0000.png
3D,整库_w=5,5,合平均面积,17,0.4097,-0.5061,-0.3623,100,17星_Ridge_CV-R2_0.4097_OOT-SMOOTH-R2_-0.5061_OOT-RAW-R2_-0.3623_Params_alpha_100.0000.png
3D,整库_w=5,5,合平均面积,15,0.4101,-0.5071,-0.3636,100,15星_Ridge_CV-R2_0.4101_OOT-SMOOTH-R2_-0.5071_OOT-RAW-R2_-0.3636_Params_alpha_100.0000.png
3D,整库_w=5,5,合平均面积,14,0.4048,-0.5195,-0.3728,100,14星_Ridge_CV-R2_0.4048_OOT-SMOOTH-R2_-0.5195_OOT-RAW-R2_-0.3728_Params_alpha_100.0000.png
3D_V,整库_w=5,5,合面积,36,0.4495,-0.5409,-0.3871,11.8107,36星_Ridge_CV-R2_0.4495_OOT-SMOOTH-R2_-0.5409_OOT-RAW-R2_-0.3871_Params_alpha_11.8107.png
