维度模式,Sheet名称,w值,排序标准,星数,CV_R2,OOT_SMOOTH_R2,OOT_RAW_R2,alpha,完整文件名
3D_V,整库_w=4,4,合面积,7,0.6539,-0.0238,-0.0123,0.001,7星_Ridge_CV-R2_0.6539_OOT-SMOOTH-R2_-0.0238_OOT-RAW-R2_-0.0123_Params_alpha_0.0010.png
3D_V,整库_w=5,5,合面积,38,0.5551,-0.0267,-0.0132,3.3841,38星_Ridge_CV-R2_0.5551_OOT-SMOOTH-R2_-0.0267_OOT-RAW-R2_-0.0132_Params_alpha_3.3841.png
6D,整库_w=5,5,合平均面积,7,0.6599,-0.0334,-0.017,0.001,7星_Ridge_CV-R2_0.6599_OOT-SMOOTH-R2_-0.0334_OOT-RAW-R2_-0.0170_Params_alpha_0.0010.png
3D,整库_w=4,4,合数,11,0.8014,-0.0543,-0.0355,0.001,11星_Ridge_CV-R2_0.8014_OOT-SMOOTH-R2_-0.0543_OOT-RAW-R2_-0.0355_Params_alpha_0.0010.png
3D_V,整库_w=5,5,合面积,43,0.5399,-0.0641,-0.0407,4.1149,43星_Ridge_CV-R2_0.5399_OOT-SMOOTH-R2_-0.0641_OOT-RAW-R2_-0.0407_Params_alpha_4.1149.png
3D_V,整库_w=5,5,合面积,7,0.6545,-0.0663,-0.0433,0.001,7星_Ridge_CV-R2_0.6545_OOT-SMOOTH-R2_-0.0663_OOT-RAW-R2_-0.0433_Params_alpha_0.0010.png
3D_V,整库_w=5,5,合面积,6,0.6155,-0.0672,-0.0443,0.001,6星_Ridge_CV-R2_0.6155_OOT-SMOOTH-R2_-0.0672_OOT-RAW-R2_-0.0443_Params_alpha_0.0010.png
3D_V,整库_w=4,4,合平均面积,22,0.6807,-0.0699,-0.0515,1.0496,22星_Ridge_CV-R2_0.6807_OOT-SMOOTH-R2_-0.0699_OOT-RAW-R2_-0.0515_Params_alpha_1.0496.png
6D,整库_w=4,4,合面积,30,0.6699,-0.1108,-0.0708,4.4804,30星_Ridge_CV-R2_0.6699_OOT-SMOOTH-R2_-0.1108_OOT-RAW-R2_-0.0708_Params_alpha_4.4804.png
3D_V,整库_w=4,4,合平均面积,24,0.6941,-0.0981,-0.0719,0.6167,24星_Ridge_CV-R2_0.6941_OOT-SMOOTH-R2_-0.0981_OOT-RAW-R2_-0.0719_Params_alpha_0.6167.png
3D,整库_w=4,4,合面积,14,0.7574,-0.1331,-0.0902,0.001,14星_Ridge_CV-R2_0.7574_OOT-SMOOTH-R2_-0.1331_OOT-RAW-R2_-0.0902_Params_alpha_0.0010.png
6D,整库_w=5,5,合面积,15,0.7784,-0.1343,-0.0921,0.0304,15星_Ridge_CV-R2_0.7784_OOT-SMOOTH-R2_-0.1343_OOT-RAW-R2_-0.0921_Params_alpha_0.0304.png
6D,整库_w=5,5,合面积,16,0.7633,-0.1398,-0.096,0.039,16星_Ridge_CV-R2_0.7633_OOT-SMOOTH-R2_-0.1398_OOT-RAW-R2_-0.0960_Params_alpha_0.0390.png
3D_V,整库_w=5,5,合面积,8,0.654,-0.1403,-0.0973,0.001,8星_Ridge_CV-R2_0.6540_OOT-SMOOTH-R2_-0.1403_OOT-RAW-R2_-0.0973_Params_alpha_0.0010.png
3D_V,整库_w=5,5,合面积,44,0.5323,-0.1444,-0.0997,6.0986,44星_Ridge_CV-R2_0.5323_OOT-SMOOTH-R2_-0.1444_OOT-RAW-R2_-0.0997_Params_alpha_6.0986.png
3D_V,整库_w=5,5,合平均面积,40,0.6342,-0.1563,-0.1109,6.1237,40星_Ridge_CV-R2_0.6342_OOT-SMOOTH-R2_-0.1563_OOT-RAW-R2_-0.1109_Params_alpha_6.1237.png
3D_V,整库_w=4,4,合平均面积,27,0.6703,-0.1535,-0.1124,0.5436,27星_Ridge_CV-R2_0.6703_OOT-SMOOTH-R2_-0.1535_OOT-RAW-R2_-0.1124_Params_alpha_0.5436.png
3D_V,整库_w=4,4,合平均面积,25,0.6909,-0.1596,-0.1167,0.6067,25星_Ridge_CV-R2_0.6909_OOT-SMOOTH-R2_-0.1596_OOT-RAW-R2_-0.1167_Params_alpha_0.6067.png
6D,整库_w=5,5,合平均面积,8,0.6626,-0.1711,-0.1178,0.001,8星_Ridge_CV-R2_0.6626_OOT-SMOOTH-R2_-0.1711_OOT-RAW-R2_-0.1178_Params_alpha_0.0010.png
3D_V,整库_w=4,4,合平均面积,23,0.6892,-0.17,-0.1249,0.424,23星_Ridge_CV-R2_0.6892_OOT-SMOOTH-R2_-0.1700_OOT-RAW-R2_-0.1249_Params_alpha_0.4240.png
3D_V,整库_w=4,4,合平均面积,26,0.6835,-0.1777,-0.1301,0.4854,26星_Ridge_CV-R2_0.6835_OOT-SMOOTH-R2_-0.1777_OOT-RAW-R2_-0.1301_Params_alpha_0.4854.png
6D,整库_w=4,4,合面积,31,0.6661,-0.2003,-0.1351,3.6608,31星_Ridge_CV-R2_0.6661_OOT-SMOOTH-R2_-0.2003_OOT-RAW-R2_-0.1351_Params_alpha_3.6608.png
