Body,Window,Type,k_obs,k_exp,Ratio_Freq,Avg_Area,Ratio_Amp,p_val,Effect,Stage,p_adj_bh,sig_fdr
Ceres_lon,7,Opposition,1518,1515.78,100.15,293.4,96.63999938964844,0.960849881385947,Enhancement,Flare_All,1.0,False
Ceres_lon,8,Conjunction,1807,1738.48,103.94,337.03,111.01000213623048,0.0964293510108441,Enhancement,Flare_All,0.21076817352044502,False
Ceres_lon,8,Opposition,1734,1732.11,100.11,295.88,97.45999908447266,0.969748141949572,Enhancement,Flare_All,0.9913263074118008,False
Ceres_lon,9,Conjunction,2017,1955.59,103.14,330.73,108.94000244140624,0.1586048733772184,Enhancement,Flare_All,0.3057191673834068,False
Ceres_lon,9,Opposition,1942,1948.6,99.66,294.18,96.9000015258789,0.8900325764207134,Suppression,Flare_All,0.9448864752531302,False
Ceres_lon,10,Conjunction,2257,2173.07,103.86,322.75,106.30999755859376,0.0666310478050408,Enhancement,Flare_All,0.15580493513693672,False
Ceres_lon,10,Opposition,2146,2165.2,99.11,293.59,96.6999969482422,0.6812799647106482,Suppression,Flare_All,0.8313744569359629,False
999_lon,1,Conjunction,230,222.88,103.19,232.26,76.5,0.6501413473310786,Enhancement,Flare_All,0.8939443525802331,False
999_lon,1,Opposition,211,216.5,97.46,293.22,96.58000183105467,0.7407133661835048,Suppression,Flare_All,0.947826960234773,False
999_lon,2,Conjunction,463,445.82,103.85,239.76,78.97000122070312,0.4252596879038254,Enhancement,Flare_All,0.7226161554597131,False
999_lon,2,Opposition,441,433.05,101.83,284.08,93.56999969482422,0.7139131308222181,Enhancement,Flare_All,0.9233312978708468,False
999_lon,3,Conjunction,680,669.46,101.57,251.94,82.9800033569336,0.6915065163071737,Enhancement,Flare_All,0.8627261808880234,False
999_lon,3,Opposition,656,649.03,101.07,253.25,83.41999816894531,0.793220765153445,Enhancement,Flare_All,0.9554806871792311,False
999_lon,4,Conjunction,909,893.17,101.77,282.87,93.16999816894533,0.6010883189764544,Enhancement,Flare_All,0.8036209659011481,False
999_lon,4,Opposition,880,865.39,101.69,243.69,80.2699966430664,0.6246943362182651,Enhancement,Flare_All,0.835421706483673,False
