Stage,Group,Window,Type,N_Records,k_obs,k_exp,Ratio,p_val,Z_score,Effect
All,Large 500-2000,4,Conjunction,18110,3927,3219.91,121.96,0.012398760123987601,1.6,Enhancement
All,Large 500-2000,5,Opposition,18110,3551,4022.36,88.28,0.6983301669833016,-0.84,Suppression
All,Large 500-2000,5,Conjunction,18110,4818,4024.89,119.71,0.0917908209179082,1.43,Enhancement
All,XLarge >2000,1,Opposition,630,20,28.01,71.4,0.25517448255174485,-1.19,Suppression
All,XLarge >2000,1,Conjunction,630,34,28.01,121.4,0.41555844415558446,0.91,Enhancement
All,XLarge >2000,2,Opposition,630,47,56.02,83.9,0.48435156484351566,-0.81,Suppression
All,XLarge >2000,2,Conjunction,630,74,56.01,132.11,0.13238676132386762,1.68,Enhancement
All,XLarge >2000,3,Opposition,630,67,84.03,79.73,0.26997300269973,-1.11,Suppression
All,XLarge >2000,3,Conjunction,630,116,84.02,138.07,0.028997100289971003,2.15,Enhancement
All,XLarge >2000,4,Opposition,630,85,112.04,75.86,0.09559044095590441,-1.41,Suppression
All,XLarge >2000,4,Conjunction,630,145,112.02,129.44,0.0993900609939006,1.76,Enhancement
All,XLarge >2000,5,Opposition,630,96,140.06,68.54,0.0025997400259974,-1.89,Suppression
All,XLarge >2000,5,Conjunction,630,186,140.03,132.83,0.035396460353964605,2.01,Enhancement
All,Total,1,Opposition,256824,10028,11409.23,87.89,0.6677332266773323,-0.9,Suppression
All,Total,1,Conjunction,256824,13626,11419.58,119.32,0.11938806119388061,1.4,Enhancement
All,Total,2,Opposition,256824,20280,22818.47,88.88,0.9763023697630236,-0.83,Suppression
All,Total,2,Conjunction,256824,27287,22839.15,119.47,0.09519048095190481,1.43,Enhancement
All,Total,3,Opposition,256824,30219,34227.7,88.29,0.8959104089591041,-0.86,Suppression
All,Total,3,Conjunction,256824,41012,34258.73,119.71,0.0675932406759324,1.46,Enhancement
All,Total,4,Opposition,256824,40153,45636.94,87.98,0.7911208879112088,-0.9,Suppression
All,Total,4,Conjunction,256824,54701,45678.3,119.75,0.053594640535946404,1.45,Enhancement
All,Total,5,Opposition,256824,50162,57046.17,87.93,0.771922807719228,-0.91,Suppression
All,Total,5,Conjunction,256824,68331,57097.88,119.67,0.05599440055994401,1.46,Enhancement
Daily,Small <100,1,Opposition,8268,338,366.95,92.11,0.9871012898710129,-0.48,Suppression
Daily,Small <100,1,Conjunction,8268,500,368.09,135.84,0.05399460053994601,2.11,Enhancement
Daily,Small <100,2,Opposition,8268,700,733.91,95.38,0.7987201279872013,-0.27,Suppression
Daily,Small <100,2,Conjunction,8268,983,736.19,133.53,0.06879312068793121,2.04,Enhancement
Daily,Small <100,3,Opposition,8268,1036,1100.86,94.11,0.8051194880511949,-0.35,Suppression
