Stage,Group,Window,Type,N_Records,k_obs,k_exp,Ratio,p_val,Z_score,Effect
All,Total,2,Opposition,256824,19579,21953.71,89.18,0.9391060893910609,-0.84,Suppression
All,Total,2,Conjunction,256824,25996,21972.85,118.31,0.12758724127587243,1.43,Enhancement
All,Total,3,Opposition,256824,28659,32303.19,88.72,0.7575242475752425,-0.89,Suppression
All,Total,3,Conjunction,256824,38179,32330.81,118.09,0.10998900109989002,1.43,Enhancement
All,Total,4,Opposition,256824,37425,42252.76,88.57,0.543945605439456,-0.92,Suppression
All,Total,4,Conjunction,256824,49781,42288.17,117.72,0.11078892110788921,1.42,Enhancement
All,Total,5,Opposition,256824,45980,51815.69,88.74,0.46695330466953305,-0.92,Suppression
All,Total,5,Conjunction,256824,60782,51858.25,117.21,0.13358664133586642,1.42,Enhancement
Daily,Small <100,1,Opposition,8268,332,359.93,92.24,1.0,-0.45,Suppression
Daily,Small <100,1,Conjunction,8268,492,361.03,136.28,0.049795020497950204,2.14,Enhancement
Daily,Small <100,2,Opposition,8268,675,706.12,95.59,0.8051194880511949,-0.27,Suppression
Daily,Small <100,2,Conjunction,8268,944,708.23,133.29,0.060193980601939805,2.03,Enhancement
Daily,Small <100,3,Opposition,8268,974,1039.02,93.74,0.8277172282771723,-0.4,Suppression
Daily,Small <100,3,Conjunction,8268,1376,1042.06,132.05,0.059994000599940006,2.03,Enhancement
Daily,Small <100,4,Opposition,8268,1270,1359.07,93.45,0.8213178682131786,-0.42,Suppression
Daily,Small <100,4,Conjunction,8268,1807,1362.97,132.58,0.031996800319968,2.16,Enhancement
Daily,Small <100,5,Opposition,8268,1555,1666.69,93.3,0.8485151484851515,-0.46,Suppression
Daily,Small <100,5,Conjunction,8268,2151,1671.38,128.7,0.10358964103589641,1.91,Enhancement
Daily,Medium 100-500,1,Opposition,29,0,1.25,0.0,0.5585441455854414,-1.13,Suppression
Daily,Medium 100-500,1,Conjunction,29,2,1.28,155.92,0.7153284671532847,0.65,Enhancement
Daily,Medium 100-500,2,Opposition,29,1,2.45,40.8,0.5601439856014399,-0.98,Suppression
Daily,Medium 100-500,2,Conjunction,29,2,2.52,79.5,1.0,-0.31,Suppression
Daily,Medium 100-500,3,Opposition,29,2,3.61,55.44,0.5627437256274372,-0.9,Suppression
Daily,Medium 100-500,3,Conjunction,29,4,3.7,108.09,1.0,0.14,Enhancement
Daily,Medium 100-500,4,Opposition,29,3,4.72,63.57,0.5689431056894311,-0.86,Suppression
Daily,Medium 100-500,4,Conjunction,29,4,4.84,82.66,0.9345065493450655,-0.37,Suppression
Daily,Medium 100-500,5,Opposition,29,5,5.79,86.37,0.9137086291370863,-0.38,Suppression
Daily,Medium 100-500,5,Conjunction,29,8,5.93,134.85,0.49095090490950904,0.91,Enhancement
Daily,Large 500-2000,1,Opposition,4,0,0.18,0.0,1.0,-0.43,Suppression
Daily,Large 500-2000,1,Conjunction,4,0,0.17,0.0,1.0,-0.43,Suppression
Daily,Large 500-2000,2,Opposition,4,0,0.35,0.0,1.0,-0.63,Suppression
Daily,Large 500-2000,2,Conjunction,4,0,0.34,0.0,1.0,-0.61,Suppression
Daily,Large 500-2000,3,Opposition,4,0,0.51,0.0,1.0,-0.77,Suppression
Daily,Large 500-2000,3,Conjunction,4,1,0.5,201.59,0.8353164683531646,0.78,Enhancement
Daily,Large 500-2000,4,Opposition,4,0,0.67,0.0,0.962903709629037,-0.9,Suppression
Daily,Large 500-2000,4,Conjunction,4,1,0.65,154.08,1.0,0.47,Enhancement
Daily,Large 500-2000,5,Opposition,4,0,0.82,0.0,0.7747225277472253,-1.05,Suppression
Daily,Large 500-2000,5,Conjunction,4,1,0.8,125.61,1.0,0.27,Enhancement
Daily,Total,1,Opposition,8301,332,361.36,91.88,0.9683031696830317,-0.49,Suppression
Daily,Total,1,Conjunction,8301,494,362.48,136.28,0.04659534046595341,2.15,Enhancement
Daily,Total,2,Opposition,8301,676,708.92,95.36,0.8063193680631937,-0.28,Suppression
Daily,Total,2,Conjunction,8301,946,711.08,133.04,0.059394060593940604,2.06,Enhancement
Daily,Total,3,Opposition,8301,976,1043.14,93.56,0.8469153084691531,-0.41,Suppression
Daily,Total,3,Conjunction,8301,1381,1046.26,131.99,0.06519348065193481,2.04,Enhancement
Daily,Total,4,Opposition,8301,1273,1364.45,93.3,0.8409159084091591,-0.44,Suppression
Daily,Total,4,Conjunction,8301,1812,1368.46,132.41,0.034596540345965404,2.15,Enhancement
Daily,Total,5,Opposition,8301,1560,1673.3,93.23,0.8503149685031497,-0.47,Suppression
Daily,Total,5,Conjunction,8301,2160,1678.11,128.72,0.1085891410858914,1.92,Enhancement
