Stage,Group,Window,Type,N_Records,k_obs,k_exp,k_exp_kepler,Ratio,p_val,Z_score,Effect,Source_File,Domain,q_group_type,n_group_type,q_group_all,n_group_all,q_file,n_file
Flare_All,C-Class,12,Conjunction,26654,10045,10236.36,10222.34,98.13,0.4241115177696446,-0.73,Suppression,sf_algo2_at_least_one.csv,sf,0.48935944358035915,30.0,0.5089338213235736,60.0,0.5632984685439034,300.0
Flare_All,C-Class,13,Conjunction,26654,10655,10913.41,10896.77,97.63,0.3371932561348773,-0.91,Suppression,sf_algo2_at_least_one.csv,sf,0.41735165296694066,30.0,0.4304594759168646,60.0,0.5021574445358384,300.0
Flare_All,C-Class,14,Conjunction,26654,11216,11565.98,11547.42,96.97,0.2618747625047499,-1.14,Suppression,sf_algo2_at_least_one.csv,sf,0.3641381717820188,30.0,0.3653381477824988,60.0,0.4340465676874308,300.0
Flare_All,C-Class,15,Conjunction,26654,11747,12195.58,12174.99,96.32,0.2107957840843183,-1.36,Suppression,sf_algo2_at_least_one.csv,sf,0.33283544855418673,30.0,0.32430120628356657,60.0,0.387967700768684,300.0
Flare_All,C-Class,16,Conjunction,26654,12319,12803.3,12780.21,96.22,0.2103157936841263,-1.38,Suppression,sf_algo2_at_least_one.csv,sf,0.33283544855418673,30.0,0.32430120628356657,60.0,0.387967700768684,300.0
Flare_All,C-Class,17,Conjunction,26654,12826,13388.73,13363.71,95.8,0.1865162696746065,-1.51,Suppression,sf_algo2_at_least_one.csv,sf,0.3291463582493056,30.0,0.31846029746071736,60.0,0.38176159553732003,300.0
Flare_All,C-Class,18,Conjunction,26654,13314,13953.25,13926.18,95.42,0.1699966000679986,-1.62,Suppression,sf_algo2_at_least_one.csv,sf,0.3187436251274974,30.0,0.3133755506708047,60.0,0.38176159553732003,300.0
Flare_All,C-Class,19,Conjunction,26654,13747,14497.79,14468.22,94.82,0.1412771744565108,-1.8,Suppression,sf_algo2_at_least_one.csv,sf,0.28911421771564555,30.0,0.3133755506708047,60.0,0.38176159553732003,300.0
Flare_All,C-Class,20,Conjunction,26654,14234,15022.09,14990.43,94.75,0.1445571088578228,-1.8,Suppression,sf_algo2_at_least_one.csv,sf,0.28911421771564555,30.0,0.3133755506708047,60.0,0.38176159553732003,300.0
Flare_All,C-Class,21,Conjunction,26654,14653,15527.26,15493.4,94.37,0.1286374272514549,-1.9,Suppression,sf_algo2_at_least_one.csv,sf,0.28911421771564555,30.0,0.3133755506708047,60.0,0.38176159553732003,300.0
Flare_All,C-Class,22,Conjunction,26654,15064,16014.08,15977.73,94.07,0.116437671246575,-1.98,Suppression,sf_algo2_at_least_one.csv,sf,0.28911421771564555,30.0,0.3133755506708047,60.0,0.38176159553732003,300.0
Flare_All,C-Class,23,Conjunction,26654,15476,16483.08,16443.98,93.89,0.1107577848443031,-2.02,Suppression,sf_algo2_at_least_one.csv,sf,0.28911421771564555,30.0,0.3133755506708047,60.0,0.38176159553732003,300.0
Flare_All,C-Class,24,Conjunction,26654,15885,16934.14,16892.72,93.8,0.1107177856442871,-2.03,Suppression,sf_algo2_at_least_one.csv,sf,0.28911421771564555,30.0,0.3133755506708047,60.0,0.38176159553732003,300.0
Flare_All,C-Class,25,Conjunction,26654,16288,17367.99,17324.52,93.78,0.1120377592448151,-2.02,Suppression,sf_algo2_at_least_one.csv,sf,0.28911421771564555,30.0,0.3133755506708047,60.0,0.38176159553732003,300.0
Flare_All,C-Class,26,Conjunction,26654,16671,17785.73,17739.93,93.73,0.1121177576448471,-2.02,Suppression,sf_algo2_at_least_one.csv,sf,0.28911421771564555,30.0,0.3133755506708047,60.0,0.38176159553732003,300.0
Flare_All,C-Class,27,Conjunction,26654,17023,18187.9,18139.46,93.6,0.1063178736425271,-2.05,Suppression,sf_algo2_at_least_one.csv,sf,0.28911421771564555,30.0,0.3133755506708047,60.0,0.38176159553732003,300.0
Flare_All,C-Class,28,Conjunction,26654,17362,18574.87,18523.58,93.47,0.0990780184396312,-2.08,Suppression,sf_algo2_at_least_one.csv,sf,0.28911421771564555,30.0,0.3133755506708047,60.0,0.38176159553732003,300.0
Flare_All,C-Class,29,Conjunction,26654,17702,18946.58,18892.8,93.43,0.0975580488390232,-2.09,Suppression,sf_algo2_at_least_one.csv,sf,0.28911421771564555,30.0,0.3133755506708047,60.0,0.38176159553732003,300.0
Flare_All,C-Class,30,Conjunction,26654,18005,19303.11,19247.64,93.28,0.0894382112357752,-2.13,Suppression,sf_algo2_at_least_one.csv,sf,0.28911421771564555,30.0,0.3133755506708047,60.0,0.38176159553732003,300.0
Flare_All,C-Class,1,Opposition,26654,1047,1020.52,1019.99,102.59,0.4910301793964121,0.72,Enhancement,sf_algo2_at_least_one.csv,sf,0.5681886362272753,30.0,0.5681886362272753,60.0,0.6104506009053372,300.0
Flare_All,C-Class,2,Opposition,26654,1997,2007.48,2006.47,99.48,0.8551428971420572,-0.18,Suppression,sf_algo2_at_least_one.csv,sf,0.8551428971420572,30.0,0.8806196757420783,60.0,0.8938775928314185,300.0
Flare_All,C-Class,3,Opposition,26654,2926,2961.8,2960.3,98.79,0.6413471730565389,-0.46,Suppression,sf_algo2_at_least_one.csv,sf,0.7122892024918123,30.0,0.712607970062821,60.0,0.731574722117725,300.0
Flare_All,C-Class,4,Opposition,26654,3845,3884.49,3882.51,98.98,0.6686266274674506,-0.4,Suppression,sf_algo2_at_least_one.csv,sf,0.7122892024918123,30.0,0.729410866328128,60.0,0.7512658735589333,300.0
Flare_All,C-Class,5,Opposition,26654,4737,4777.36,4773.91,99.16,0.6885462290754185,-0.34,Suppression,sf_algo2_at_least_one.csv,sf,0.7122892024918123,30.0,0.7377281025808056,60.0,0.7622053441284117,300.0
Flare_All,C-Class,6,Opposition,26654,5554,5640.99,5635.37,98.46,0.492430151396972,-0.62,Suppression,sf_algo2_at_least_one.csv,sf,0.5681886362272753,30.0,0.5681886362272753,60.0,0.6104506009053372,300.0
Flare_All,C-Class,7,Opposition,26654,6345,6475.56,6467.7,97.98,0.3827923441531169,-0.79,Suppression,sf_algo2_at_least_one.csv,sf,0.47849043019139614,30.0,0.4687253193711636,60.0,0.5442545177532468,300.0
Flare_All,C-Class,8,Opposition,26654,7105,7282.18,7271.8,97.57,0.3185936281274374,-0.94,Suppression,sf_algo2_at_least_one.csv,sf,0.41555690625317926,30.0,0.42479150416991657,60.0,0.48764330835832254,300.0
Flare_All,C-Class,9,Opposition,26654,7808,8061.61,8048.43,96.85,0.2323553528929421,-1.18,Suppression,sf_algo2_at_least_one.csv,sf,0.3319362184184887,30.0,0.3400322237457689,60.0,0.40764096998761773,300.0
Flare_All,C-Class,10,Opposition,26654,8560,8814.5,8798.38,97.11,0.2679146417071658,-1.06,Suppression,sf_algo2_at_least_one.csv,sf,0.3653381477824988,30.0,0.3653381477824988,60.0,0.4376344905534321,300.0
Flare_All,C-Class,11,Opposition,26654,9204,9541.63,9522.38,96.46,0.2103157936841263,-1.27,Suppression,sf_algo2_at_least_one.csv,sf,0.31547369052618945,30.0,0.32430120628356657,60.0,0.387967700768684,300.0
Flare_All,C-Class,12,Opposition,26654,9841,10243.65,10221.12,96.07,0.1910761784764304,-1.38,Suppression,sf_algo2_at_least_one.csv,sf,0.30169922917331116,30.0,0.31846029746071736,60.0,0.38176159553732003,300.0
Flare_All,C-Class,13,Opposition,26654,10456,10920.96,10895.38,95.74,0.1782364352712945,-1.46,Suppression,sf_algo2_at_least_one.csv,sf,0.2970607254521575,30.0,0.31453488577287264,60.0,0.38176159553732003,300.0
Flare_All,C-Class,14,Opposition,26654,11043,11574.58,11545.93,95.41,0.1678766424671506,-1.54,Suppression,sf_algo2_at_least_one.csv,sf,0.2970607254521575,30.0,0.3133755506708047,60.0,0.38176159553732003,300.0
Flare_All,C-Class,15,Opposition,26654,11635,12205.41,12173.45,95.33,0.1723565528689426,-1.54,Suppression,sf_algo2_at_least_one.csv,sf,0.2970607254521575,30.0,0.3133755506708047,60.0,0.38176159553732003,300.0
Flare_All,C-Class,16,Opposition,26654,12197,12813.9,12778.61,95.19,0.1706365872682546,-1.56,Suppression,sf_algo2_at_least_one.csv,sf,0.2970607254521575,30.0,0.3133755506708047,60.0,0.38176159553732003,300.0
Flare_All,C-Class,17,Opposition,26654,12740,13400.35,13362.08,95.07,0.1718365632687346,-1.57,Suppression,sf_algo2_at_least_one.csv,sf,0.2970607254521575,30.0,0.3133755506708047,60.0,0.38176159553732003,300.0
Flare_All,C-Class,18,Opposition,26654,13227,13965.97,13924.45,94.71,0.1601567968640627,-1.66,Suppression,sf_algo2_at_least_one.csv,sf,0.2970607254521575,30.0,0.3133755506708047,60.0,0.38176159553732003,300.0
