Planet,Angle_Center,Ratio,Z_score,p_val,q_planet,n_planet,q_all_bins,n_all_bins,In_Conjunction_Band
Jupiter,125.0,90.21,-1.31,0.2323767623237676,0.8939448912251633,36.0,0.9660748210893196,108,False
Jupiter,135.0,103.71,0.49,0.7263273672632736,0.8939448912251633,36.0,1.0,108,False
Jupiter,145.0,97.75,-0.3,0.7953204679532047,0.8939448912251633,36.0,1.0,108,False
Jupiter,155.0,101.63,0.22,0.8691130886911309,0.8939448912251633,36.0,1.0,108,False
Jupiter,165.0,106.86,0.91,0.487951204879512,0.8939448912251633,36.0,0.9660748210893196,108,False
Jupiter,175.0,110.86,1.46,0.1261873812618738,0.8939448912251633,36.0,0.9660748210893196,108,False
Mars,-175.0,100.46,0.07,0.9209079092090792,1.0,36.0,1.0,108,False
Mars,-165.0,98.74,-0.18,0.8963103689631037,1.0,36.0,1.0,108,False
Mars,-155.0,106.23,0.91,0.366963303669633,0.8292670732926707,36.0,0.9660748210893196,108,False
Mars,-145.0,100.37,0.05,0.9243075692430756,1.0,36.0,1.0,108,False
Mars,-135.0,100.04,0.01,0.9545045495450456,1.0,36.0,1.0,108,False
Mars,-125.0,95.15,-0.69,0.45995400459954,0.9199080091990799,36.0,0.9660748210893196,108,False
Mars,-115.0,97.57,-0.34,0.7329267073292671,1.0,36.0,1.0,108,False
Mars,-105.0,86.19,-1.91,0.0815918408159184,0.7040895910408959,36.0,0.9660748210893196,108,False
Mars,-95.0,85.59,-2.02,0.0715928407159284,0.7040895910408959,36.0,0.9660748210893196,108,False
Mars,-85.0,87.68,-1.74,0.0977902209779022,0.7040895910408959,36.0,0.9660748210893196,108,False
Mars,-75.0,93.08,-0.98,0.3195680431956804,0.8292670732926707,36.0,0.9660748210893196,108,False
Mars,-65.0,97.47,-0.36,0.7067293270672933,1.0,36.0,1.0,108,False
Mars,-55.0,93.0,-1.04,0.3061693830616938,0.8292670732926707,36.0,0.9660748210893196,108,False
Mars,-45.0,92.66,-1.1,0.2937706229377062,0.8292670732926707,36.0,0.9660748210893196,108,False
Mars,-35.0,98.48,-0.23,0.8577142285771423,1.0,36.0,1.0,108,False
Mars,-25.0,105.29,0.82,0.3671632836716328,0.8292670732926707,36.0,0.9660748210893196,108,False
Mars,-15.0,99.98,-0.0,0.9883011698830118,1.0,36.0,1.0,108,True
Mars,-5.0,113.47,2.1,0.0571942805719428,0.7040895910408959,36.0,0.9660748210893196,108,True
Mars,5.0,113.95,2.22,0.0507949205079492,0.7040895910408959,36.0,0.9660748210893196,108,True
Mars,15.0,109.3,1.51,0.1481851814818518,0.8166040538803261,36.0,0.9660748210893196,108,True
Mars,25.0,108.84,1.46,0.1587841215878412,0.8166040538803261,36.0,0.9660748210893196,108,False
Mars,35.0,96.27,-0.62,0.5529447055294471,1.0,36.0,0.9660748210893196,108,False
Mars,45.0,104.35,0.72,0.4301569843015698,0.9109206726386184,36.0,0.9660748210893196,108,False
Mars,55.0,105.89,0.96,0.3017698230176982,0.8292670732926707,36.0,0.9660748210893196,108,False
Mars,65.0,100.5,0.08,0.8459154084591541,1.0,36.0,1.0,108,False
Mars,75.0,100.4,0.06,0.8515148485151485,1.0,36.0,1.0,108,False
Mars,85.0,99.52,-0.07,0.999900009999,1.0,36.0,1.0,108,False
Mars,95.0,101.14,0.17,0.8037196280371963,1.0,36.0,1.0,108,False
Mars,105.0,100.82,0.13,0.8729127087291271,1.0,36.0,1.0,108,False
Mars,115.0,100.05,0.01,1.0,1.0,36.0,1.0,108,False
Mars,125.0,101.78,0.28,0.8063193680631937,1.0,36.0,1.0,108,False
Mars,135.0,102.75,0.42,0.6625337466253375,1.0,36.0,1.0,108,False
Mars,145.0,98.18,-0.28,0.7587241275872413,1.0,36.0,1.0,108,False
Mars,155.0,106.08,0.9,0.3421657834216578,0.8292670732926707,36.0,0.9660748210893196,108,False
Mars,165.0,92.52,-1.1,0.251974802519748,0.8292670732926707,36.0,0.9660748210893196,108,False
Mars,175.0,106.26,0.9,0.3685631436856314,0.8292670732926707,36.0,0.9660748210893196,108,False
Venus,-175.0,108.08,1.27,0.2093790620937906,0.8649420772208494,36.0,0.9660748210893196,108,False
Venus,-165.0,104.64,0.72,0.4991500849915009,0.8649420772208494,36.0,0.9660748210893196,108,False
Venus,-155.0,108.88,1.37,0.1671832816718328,0.8649420772208494,36.0,0.9660748210893196,108,False
Venus,-145.0,100.57,0.09,0.9627037296270372,0.9973002699730027,36.0,1.0,108,False
Venus,-135.0,101.89,0.29,0.8127187281271873,0.9973002699730027,36.0,1.0,108,False
Venus,-125.0,101.7,0.26,0.8147185281471853,0.9973002699730027,36.0,1.0,108,False
