Window,Deg_Window,Days,Conj_k_obs,Conj_k_exp,Conj_Ratio,Conj_Z,Conj_p,Opp_k_obs,Opp_k_exp,Opp_Ratio,Opp_Z,Opp_p,Source_File,Domain,Conj_q_file,Conj_n_file,Opp_q_file,Opp_n_file
20,40,3.03,21373,20742.8,103.04,1.98,0.0462,20797,20736.0,100.29,0.17,0.8855,sf_c_class_decay_boundary.csv,sf,0.12157894736842105,50.0,0.9438541666666667,50.0
21,42,3.18,22390,21781.8,102.79,1.87,0.0532,21873,21773.1,100.46,0.27,0.8123,sf_c_class_decay_boundary.csv,sf,0.12666666666666665,50.0,0.9438541666666667,50.0
22,44,3.33,23424,22817.0,102.66,1.81,0.0628,22907,22813.4,100.41,0.25,0.8295,sf_c_class_decay_boundary.csv,sf,0.13652173913043478,50.0,0.9438541666666667,50.0
23,46,3.48,24479,23854.8,102.62,1.82,0.0618,23956,23848.4,100.45,0.27,0.7951,sf_c_class_decay_boundary.csv,sf,0.13652173913043478,50.0,0.9438541666666667,50.0
24,48,3.64,25494,24892.9,102.41,1.69,0.0796,25058,24886.6,100.69,0.43,0.6863,sf_c_class_decay_boundary.csv,sf,0.15307692307692308,50.0,0.9438541666666667,50.0
25,50,3.79,26554,25924.0,102.43,1.72,0.0782,26049,25920.0,100.5,0.31,0.7771,sf_c_class_decay_boundary.csv,sf,0.15307692307692308,50.0,0.9438541666666667,50.0
26,52,3.94,27618,26966.4,102.42,1.75,0.0716,27102,26961.4,100.52,0.33,0.7483,sf_c_class_decay_boundary.csv,sf,0.14916666666666667,50.0,0.9438541666666667,50.0
27,54,4.09,28617,28007.6,102.18,1.56,0.1032,28158,27993.3,100.59,0.38,0.7179,sf_c_class_decay_boundary.csv,sf,0.19111111111111112,50.0,0.9438541666666667,50.0
28,56,4.24,29634,29037.5,102.05,1.5,0.13,29201,29032.9,100.58,0.38,0.7277,sf_c_class_decay_boundary.csv,sf,0.21666666666666667,50.0,0.9438541666666667,50.0
29,58,4.39,30677,30075.2,102.0,1.49,0.1358,30263,30064.1,100.66,0.44,0.6945,sf_c_class_decay_boundary.csv,sf,0.21903225806451612,50.0,0.9438541666666667,50.0
30,60,4.55,31733,31112.6,101.99,1.52,0.1246,31395,31105.2,100.93,0.62,0.5675,sf_c_class_decay_boundary.csv,sf,0.21666666666666667,50.0,0.9438541666666667,50.0
31,62,4.7,32791,32145.9,102.01,1.51,0.1288,32445,32138.3,100.95,0.64,0.5363,sf_c_class_decay_boundary.csv,sf,0.21666666666666667,50.0,0.9438541666666667,50.0
32,64,4.85,33808,33183.6,101.88,1.45,0.1462,33448,33187.2,100.79,0.54,0.6019,sf_c_class_decay_boundary.csv,sf,0.2284375,50.0,0.9438541666666667,50.0
33,66,5.0,34810,34220.2,101.72,1.34,0.1802,34483,34216.3,100.78,0.54,0.6165,sf_c_class_decay_boundary.csv,sf,0.273030303030303,50.0,0.9438541666666667,50.0
34,68,5.15,35819,35264.3,101.57,1.25,0.2162,35529,35260.8,100.76,0.53,0.6197,sf_c_class_decay_boundary.csv,sf,0.3179411764705882,50.0,0.9438541666666667,50.0
35,70,5.3,36799,36308.1,101.35,1.07,0.3024,36533,36293.3,100.66,0.47,0.6575,sf_c_class_decay_boundary.csv,sf,0.4221052631578947,50.0,0.9438541666666667,50.0
