Dataset,Window,Phase,N_Simul,Count,Pct,N_Total
SG_Total,16,Conjunction,1,89627,34.8982,256824
SG_Total,16,Opposition,1,89889,35.0002,256824
SG_Total,16,Conjunction,2,25749,10.0259,256824
SG_Total,16,Opposition,2,26945,10.4916,256824
SG_Total,16,Conjunction,3,5371,2.0913,256824
SG_Total,16,Opposition,3,4748,1.8487,256824
SG_Total,16,Conjunction,4,624,0.243,256824
SG_Total,16,Opposition,4,563,0.2192,256824
SG_Total,16,Conjunction,5,45,0.0175,256824
SG_Total,16,Opposition,5,30,0.0117,256824
SG_Total,16,Conjunction,6,1,0.0004,256824
SG_Total,16,Opposition,6,0,0.0,256824
SG_Total,16,Conjunction,7,0,0.0,256824
SG_Total,16,Opposition,7,0,0.0,256824
SG_Total,17,Conjunction,0,129958,50.602,256824
SG_Total,17,Opposition,0,129181,50.2994,256824
SG_Total,17,Conjunction,1,91727,35.7159,256824
SG_Total,17,Opposition,1,91882,35.7763,256824
SG_Total,17,Conjunction,2,28163,10.9659,256824
SG_Total,17,Opposition,2,29516,11.4927,256824
SG_Total,17,Conjunction,3,6137,2.3896,256824
SG_Total,17,Opposition,3,5492,2.1384,256824
SG_Total,17,Conjunction,4,777,0.3025,256824
SG_Total,17,Opposition,4,716,0.2788,256824
SG_Total,17,Conjunction,5,61,0.0238,256824
SG_Total,17,Opposition,5,37,0.0144,256824
SG_Total,17,Conjunction,6,1,0.0004,256824
SG_Total,17,Opposition,6,0,0.0,256824
SG_Total,17,Conjunction,7,0,0.0,256824
SG_Total,17,Opposition,7,0,0.0,256824
SG_Total,18,Conjunction,0,124556,48.4986,256824
SG_Total,18,Opposition,0,123876,48.2338,256824
SG_Total,18,Conjunction,1,93682,36.4771,256824
SG_Total,18,Opposition,1,93634,36.4584,256824
SG_Total,18,Conjunction,2,30544,11.893,256824
SG_Total,18,Opposition,2,32098,12.4981,256824
SG_Total,18,Conjunction,3,7031,2.7377,256824
SG_Total,18,Opposition,3,6280,2.4453,256824
SG_Total,18,Conjunction,4,930,0.3621,256824
SG_Total,18,Opposition,4,886,0.345,256824
SG_Total,18,Conjunction,5,80,0.0311,256824
SG_Total,18,Opposition,5,50,0.0195,256824
SG_Total,18,Conjunction,6,1,0.0004,256824
SG_Total,18,Opposition,6,0,0.0,256824
SG_Total,18,Conjunction,7,0,0.0,256824
SG_Total,18,Opposition,7,0,0.0,256824
SG_Total,19,Conjunction,0,119650,46.5883,256824
SG_Total,19,Opposition,0,118787,46.2523,256824
SG_Total,19,Conjunction,1,94941,36.9673,256824
SG_Total,19,Opposition,1,95183,37.0616,256824
SG_Total,19,Conjunction,2,33014,12.8547,256824
SG_Total,19,Opposition,2,34505,13.4353,256824
SG_Total,19,Conjunction,3,8006,3.1173,256824
SG_Total,19,Opposition,3,7218,2.8105,256824
SG_Total,19,Conjunction,4,1107,0.431,256824
SG_Total,19,Opposition,4,1067,0.4155,256824
SG_Total,19,Conjunction,5,104,0.0405,256824
SG_Total,19,Opposition,5,64,0.0249,256824
SG_Total,19,Conjunction,6,2,0.0008,256824
SG_Total,19,Opposition,6,0,0.0,256824
SG_Total,19,Conjunction,7,0,0.0,256824
SG_Total,19,Opposition,7,0,0.0,256824
SG_Total,20,Conjunction,0,114782,44.6929,256824
SG_Total,20,Opposition,0,114003,44.3895,256824
SG_Total,20,Conjunction,1,96220,37.4653,256824
SG_Total,20,Opposition,1,96214,37.463,256824
SG_Total,20,Conjunction,2,35396,13.7822,256824
SG_Total,20,Opposition,2,37057,14.4289,256824
SG_Total,20,Conjunction,3,8999,3.504,256824
SG_Total,20,Opposition,3,8188,3.1882,256824
SG_Total,20,Conjunction,4,1295,0.5042,256824
SG_Total,20,Opposition,4,1276,0.4968,256824
SG_Total,20,Conjunction,5,128,0.0498,256824
SG_Total,20,Opposition,5,86,0.0335,256824
SG_Total,20,Conjunction,6,4,0.0016,256824
SG_Total,20,Opposition,6,0,0.0,256824
