Section,Subset_Label,N_Planets,Conj_Ratio,Best_Constituent_Single_Ratio,Delta_vs_Best_Single,Conj_p,Conj_Excess
multi_planet_detail,Mer+Ven+Mar+Jup+Nep,5,109.22,120.35,-11.13,0.0026,195.88
multi_planet_detail,Mer+Ven+Mar+Jup+Ura,5,109.24,120.35,-11.11,0.0023,195.94
multi_planet_detail,Mar+Jup+Sat+Ura+Nep,5,101.76,111.67,-9.91,0.5688,37.29
multi_planet_detail,Mer+Mar+Sat+Ura+Nep,5,102.2,111.67,-9.47,0.4506,46.65
multi_planet_detail,Mer+Ven+Mar+Jup+Sat,5,111.3,120.35,-9.05,0.0003,239.78
multi_planet_detail,Mer+Jup+Sat+Ura+Nep,5,101.48,109.5,-8.02,0.6224,31.4
multi_planet_detail,Mer+Mar+Jup+Ura+Nep,5,104.12,111.67,-7.55,0.1612,87.48
multi_planet_detail,Mer+Mar+Jup+Sat+Nep,5,105.72,111.67,-5.95,0.0424,121.44
multi_planet_detail,Mer+Mar+Jup+Sat+Ura,5,105.96,111.67,-5.71,0.0376,126.37
multi_planet_detail,Mer+Ven+Jup+Sat+Ura+Nep,6,104.23,120.35,-16.12,0.1067,107.29
multi_planet_detail,Ven+Mar+Jup+Sat+Ura+Nep,6,104.47,120.35,-15.88,0.0904,113.17
multi_planet_detail,Mer+Ven+Mar+Sat+Ura+Nep,6,105.0,120.35,-15.35,0.0539,126.55
multi_planet_detail,Mer+Ven+Mar+Jup+Ura+Nep,6,106.37,120.35,-13.98,0.0174,161.32
multi_planet_detail,Mer+Ven+Mar+Jup+Sat+Ura,6,107.95,120.35,-12.4,0.0031,201.22
multi_planet_detail,Mer+Ven+Mar+Jup+Sat+Nep,6,108.14,120.35,-12.21,0.0023,206.34
multi_planet_detail,Mer+Mar+Jup+Sat+Ura+Nep,6,103.14,111.67,-8.53,0.2388,79.52
multi_planet_detail,Mer+Ven+Mar+Jup+Sat+Ura+Nep,7,105.27,120.35,-15.08,0.0293,154.96
