Section,Dataset,Dataset_Label,Window,N_Planets,N_Subsets,Conj_Ratio_Mean,Conj_Ratio_Median,Conj_Positive_Count,Conj_Positive_Pct,Asym_Mean,Asym_Median,Asym_Positive_Count,Asym_Positive_Pct,Step,Subset_Label,Conj_k_obs,Conj_k_exp,Conj_Excess,Conj_Ratio,Conj_p,Opp_Ratio,Opp_p,Asym_Amp,Subset_Role,N_Exceed_Best_Single,Median_Delta_vs_Best_Single,Min_Delta_vs_Best_Single,Max_Delta_vs_Best_Single
window_sensitivity,sf,Flare,2.0,7,,,,,,,,,,,Mer+Ven+Mar+Jup+Sat+Ura+Nep,,,154.96,105.27,0.0293,,,,all_7,,,,
window_sensitivity,sf,Flare,3.0,7,,,,,,,,,,,Mer+Ven+Mar+Jup+Sat+Ura+Nep,,,155.3,103.58,0.103,,,,all_7,,,,
window_sensitivity,sf,Flare,4.0,7,,,,,,,,,,,Mer+Ven+Mar+Jup+Sat+Ura+Nep,,,124.17,102.18,0.3116,,,,all_7,,,,
window_sensitivity,sf,Flare,5.0,7,,,,,,,,,,,Mer+Ven+Mar+Jup+Sat+Ura+Nep,,,150.02,102.14,0.3092,,,,all_7,,,,
window_sensitivity,sg,Sunspot,1.0,7,,,,,,,,,,,Mer+Ven+Mar+Jup+Sat+Ura+Nep,,,-21.66,99.78,0.8401,,,,all_7,,,,
window_sensitivity,sg,Sunspot,2.0,7,,,,,,,,,,,Mer+Ven+Mar+Jup+Sat+Ura+Nep,,,-83.9,99.57,0.5664,,,,all_7,,,,
window_sensitivity,sg,Sunspot,3.0,7,,,,,,,,,,,Mer+Ven+Mar+Jup+Sat+Ura+Nep,,,-124.65,99.56,0.4946,,,,all_7,,,,
window_sensitivity,sg,Sunspot,4.0,7,,,,,,,,,,,Mer+Ven+Mar+Jup+Sat+Ura+Nep,,,-167.47,99.55,0.4294,,,,all_7,,,,
window_sensitivity,sg,Sunspot,5.0,7,,,,,,,,,,,Mer+Ven+Mar+Jup+Sat+Ura+Nep,,,-350.02,99.24,0.1962,,,,all_7,,,,
multi_planet_summary,,,,2,21.0,,,,,,,,,,,,,,,,,,,,0.0,-5.83,-12.41,-0.12
multi_planet_summary,,,,3,35.0,,,,,,,,,,,,,,,,,,,,0.0,-7.59,-17.52,-1.23
multi_planet_summary,,,,4,35.0,,,,,,,,,,,,,,,,,,,,0.0,-9.98,-18.07,-2.62
multi_planet_summary,,,,5,21.0,,,,,,,,,,,,,,,,,,,,0.0,-12.24,-17.15,-5.71
multi_planet_summary,,,,6,7.0,,,,,,,,,,,,,,,,,,,,0.0,-13.98,-16.12,-8.53
multi_planet_summary,,,,7,1.0,,,,,,,,,,,,,,,,,,,,0.0,-15.08,-15.08,-15.08
multi_planet_summary,,,,All,120.0,,,,,,,,,,,,,,,,,,,,0.0,-8.9,-18.07,-0.12
